CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,corridor
637109,41.765458,-72.720066,West Hartford,1/5/20,A,B,4,Local,169,FARMINGTON AV,FARMINGTON AV,CONCORD ST,,Farmington Ave
634524,41.739695,-72.719011,West Hartford,1/5/20,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,,Jefferson Ave,New Park Ave
634046,41.754978,-72.714911,West Hartford,1/5/20,A,B,4,Local,394,PROSPECT AV,PROSPECT AV,,Park Road,Prospect Ave
636089,41.742297,-72.716933,West Hartford,1/6/20,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,FLATBUSH AV,,New Park Ave
634603,41.754616,-72.735423,West Hartford,1/6/20,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,PARK RD,,Trout Brook south
635836,41.763248,-72.7213,West Hartford,1/7/20,O,O,4,Local,33,BEVERLY RD,BEVERLY RD,,Farmington Avenue,
639827,41.765557,-72.716355,West Hartford,1/8/20,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,Prospect Ave,Farmington Ave
637114,41.726248,-72.724818,West Hartford,1/8/20,O,O,4,Local,457,SOUTH ST,SOUTH ST,SHERMAN ST,,
637113,41.734064,-72.753299,West Hartford,1/8/20,O,O,4,Local,32,BERKSHIRE RD,BERKSHIRE RD,BEECHWOOD RD,,
637112,41.736278,-72.730427,West Hartford,1/8/20,O,O,4,Local,395,QUAKER LANE SO,QUAKER LANE SO,TROUT BROOK DR,,Quaker Lane South
637116,41.762199,-72.738028,West Hartford,1/9/20,O,O,4,Local,501,TROUT BROOK DR,TROUT BROOK DR,,Farmington Avenue,Trout Brook south
637115,41.737287,-72.728713,West Hartford,1/9/20,O,O,4,Local,486,TALCOTT RD,TALCOTT RD,,Almeda Ave,
639807,41.769178,-72.743035,West Hartford,1/10/20,A,B,4,Local,347,NORTH MAIN ST,NORTH MAIN ST,FERN ST,,North Main from Center
637118,41.752734,-72.743695,West Hartford,1/10/20,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Park Road,South Main to NB
637117,41.802092,-72.746823,West Hartford,1/10/20,O,O,4,Local,504,TUMBLEBROOK LA,TUMBLEBROOK LA,KING PHILIP DR,,
644309,41.733745,-72.72349,West Hartford,1/11/20,A,C,4,Local,342,NEW PARK AV,NEW PARK AV,,Talcott Rd.,New Park Ave
637282,41.76216,-72.74136,West Hartford,1/11/20,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,,North Main Street,Farmington Ave
637120,41.742385,-72.717676,West Hartford,1/11/20,O,O,4,Local,185,FLATBUSH AV,FLATBUSH AV,,Ahern Street,
637119,41.75561,-72.7491,West Hartford,1/11/20,O,O,4,Local,343,NEWPORT AV,NEWPORT AV,BOULEVARD,,Boulevard west
639808,41.744693,-72.715169,West Hartford,1/12/20,O,O,4,Local,284,LAYTON ST,LAYTON ST,NEW PARK AV,,New Park Ave
638520,41.742212,-72.716906,West Hartford,1/12/20,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,FLATBUSH AV,,New Park Ave
637470,41.756422,-72.743746,West Hartford,1/12/20,O,O,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,BOULEVARD,,South Main to NB
637469,41.73727,-72.72774,West Hartford,1/12/20,O,O,4,Local,486,TALCOTT RD,TALCOTT RD,FENWOOD AV,,
637121,41.758054,-72.723103,West Hartford,1/12/20,A,C,4,Local,371,PARK RD,PARK RD,,Arnoldale Rd.,Park Rd east
