CrashId,Latitude,Longitude,Town Name,Date Of Crash,Crash Severity,Most Severe Injury,Route Class,Route Class Text Format,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description
524837,41.752322,-72.721808,West Hartford,3/18/19,O,O,4,Local,617,OAKWOOD AV NO 2,OAKWOOD AV NO 2,,SEYMOUR AV
535561,41.76549,-72.71806,West Hartford,3/19/19,A,C,4,Local,169,FARMINGTON AV,FARMINGTON AV,HIGHLAND ST,
535542,41.746594,-72.720455,West Hartford,3/19/19,O,O,4,Local,41,BOULANGER AV,BOULANGER AV,,Oakwood Avenue
526642,41.74407,-72.71599,West Hartford,3/19/19,A,B,4,Local,342,NEW PARK AV,NEW PARK AV,,Foley Street/New Park Avenue
535562,41.73714,-72.72102,West Hartford,3/20/19,O,O,4,Local,342,NEW PARK AV,NEW PARK AV,TALCOTT RD,
535545,41.751926,-72.744123,West Hartford,3/20/19,A,B,4,Local,460,SOUTH MAIN ST NO 2,SOUTH MAIN ST NO 2,,Webster Hill Boulevard
535544,41.76295,-72.7382,West Hartford,3/20/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,TROUT BROOK DR,
528207,41.79116,-72.74323,West Hartford,3/20/19,O,O,4,Local,275,KING PHILIP DR,KING PHILIP DR,MOHAWK DR,
535567,41.758094,-72.754791,West Hartford,3/21/19,O,O,4,Local,169,FARMINGTON AV,FARMINGTON AV,LEMAY ST,
535566,41.738619,-72.770265,West Hartford,3/21/19,O,O,4,Local,505,TUNXIS RD,TUNXIS RD,,Selden Hill Dr.
